message_index,symbol,bids_json,asks_json
317783,C,"[{""px"":873,""qty"":74},{""px"":868,""qty"":184},{""px"":870,""qty"":140},{""px"":869,""qty"":162},{""px"":874,""qty"":52},{""px"":866,""qty"":228},{""px"":872,""qty"":96},{""px"":867,""qty"":434},{""px"":871,""qty"":118}]","[{""px"":888,""qty"":184},{""px"":891,""qty"":228},{""px"":890,""qty"":228},{""px"":885,""qty"":118},{""px"":882,""qty"":52},{""px"":886,""qty"":140},{""px"":884,""qty"":96},{""px"":889,""qty"":206},{""px"":883,""qty"":74},{""px"":887,""qty"":162}]"
690676,C,"[{""px"":876,""qty"":162},{""px"":874,""qty"":206},{""px"":881,""qty"":52},{""px"":878,""qty"":118},{""px"":880,""qty"":74},{""px"":877,""qty"":140},{""px"":875,""qty"":184},{""px"":873,""qty"":456},{""px"":879,""qty"":96}]","[{""px"":891,""qty"":96},{""px"":890,""qty"":74},{""px"":889,""qty"":52},{""px"":895,""qty"":184},{""px"":897,""qty"":456},{""px"":896,""qty"":206},{""px"":894,""qty"":162},{""px"":892,""qty"":118},{""px"":893,""qty"":140}]"
706682,C,"[{""px"":877,""qty"":118},{""px"":875,""qty"":162},{""px"":880,""qty"":52},{""px"":879,""qty"":74},{""px"":876,""qty"":140},{""px"":872,""qty"":228},{""px"":878,""qty"":96},{""px"":870,""qty"":228},{""px"":874,""qty"":184},{""px"":873,""qty"":206}]","[{""px"":894,""qty"":412},{""px"":889,""qty"":74},{""px"":888,""qty"":52},{""px"":895,""qty"":206},{""px"":893,""qty"":162},{""px"":890,""qty"":96},{""px"":892,""qty"":140},{""px"":896,""qty"":228},{""px"":891,""qty"":118}]"
